"filename", "language", "Java", "comment", "blank", "total"
"c:\Computer Science Stuff\Interpreter\Monkey_java\src\EvalObject\StringObj.java", "Java", 15, 0, 8, 23
"c:\Computer Science Stuff\Interpreter\Monkey_java\src\EvaluatorTest.java", "Java", 9, 0, 3, 12
"c:\Computer Science Stuff\Interpreter\Monkey_java\src\Evaluator\Evaluator.java", "Java", 4, 0, 0, 4
"c:\Computer Science Stuff\Interpreter\Monkey_java\src\LexerTest.java", "Java", 51, -43, 0, 8
"c:\Computer Science Stuff\Interpreter\Monkey_java\src\Lexer\Lexer.java", "Java", 15, 0, 1, 16
"c:\Computer Science Stuff\Interpreter\Monkey_java\src\ParserTest.java", "Java", 37, 3, 14, 54
"c:\Computer Science Stuff\Interpreter\Monkey_java\src\Parser\Parser.java", "Java", 13, 0, 3, 16
"c:\Computer Science Stuff\Interpreter\Monkey_java\src\REPL.java", "Java", 0, -2, 0, -2
"c:\Computer Science Stuff\Interpreter\Monkey_java\src\Token\TokenType.java", "Java", 3, 0, 0, 3
"c:\Computer Science Stuff\Interpreter\Monkey_java\src\ast\ArrayLiteral.java", "Java", 36, 0, 15, 51
"c:\Computer Science Stuff\Interpreter\Monkey_java\src\ast\StringLiteral.java", "Java", 27, 0, 11, 38
"Total", "-", 210, -42, 55, 223
