"filename", "language", "Java", "comment", "blank", "total"
"c:\Computer Science Stuff\Compiler\Monkey_java\src\CompilerTest.java", "Java", 88, 0, 1, 89
"c:\Computer Science Stuff\Compiler\Monkey_java\src\Compiler\Compiler.java", "Java", 31, 0, 1, 32
"c:\Computer Science Stuff\Compiler\Monkey_java\src\VMTest.java", "Java", 29, 0, 3, 32
"c:\Computer Science Stuff\Compiler\Monkey_java\src\code\Code.java", "Java", 27, 0, 8, 35
"c:\Computer Science Stuff\Compiler\Monkey_java\src\vm\VM.java", "Java", 42, 0, 7, 49
"Total", "-", 217, 0, 20, 237
