"filename", "language", "Java", "Markdown", "comment", "blank", "total"
"c:\Computer Science Stuff\Compiler\Monkey_java\README.md", "Markdown", 0, 16, 0, 8, 24
"c:\Computer Science Stuff\Compiler\Monkey_java\src\CodeTest.java", "Java", 83, 0, 0, 16, 99
"c:\Computer Science Stuff\Compiler\Monkey_java\src\CompilerTest.java", "Java", 860, 0, 90, 42, 992
"c:\Computer Science Stuff\Compiler\Monkey_java\src\Compiler\Bytecode.java", "Java", 25, 0, 0, 11, 36
"c:\Computer Science Stuff\Compiler\Monkey_java\src\Compiler\CompilationScope.java", "Java", 16, 0, 1, 5, 22
"c:\Computer Science Stuff\Compiler\Monkey_java\src\Compiler\Compiler.java", "Java", 298, 0, 3, 45, 346
"c:\Computer Science Stuff\Compiler\Monkey_java\src\Compiler\CompilerError.java", "Java", 6, 0, 0, 3, 9
"c:\Computer Science Stuff\Compiler\Monkey_java\src\Compiler\EmittedInstruction.java", "Java", 12, 0, 0, 6, 18
"c:\Computer Science Stuff\Compiler\Monkey_java\src\EvalObject\ArrayObj.java", "Java", 35, 0, 0, 14, 49
"c:\Computer Science Stuff\Compiler\Monkey_java\src\EvalObject\BooleanObj.java", "Java", 25, 0, 0, 11, 36
"c:\Computer Science Stuff\Compiler\Monkey_java\src\EvalObject\Builtin.java", "Java", 24, 0, 0, 10, 34
"c:\Computer Science Stuff\Compiler\Monkey_java\src\EvalObject\BuiltinFunction.java", "Java", 5, 0, 0, 3, 8
"c:\Computer Science Stuff\Compiler\Monkey_java\src\EvalObject\Builtins.java", "Java", 95, 0, 0, 8, 103
"c:\Computer Science Stuff\Compiler\Monkey_java\src\EvalObject\Closure.java", "Java", 26, 0, 0, 10, 36
"c:\Computer Science Stuff\Compiler\Monkey_java\src\EvalObject\CompiledFunction.java", "Java", 30, 0, 0, 10, 40
"c:\Computer Science Stuff\Compiler\Monkey_java\src\EvalObject\Environment.java", "Java", 35, 0, 0, 14, 49
"c:\Computer Science Stuff\Compiler\Monkey_java\src\EvalObject\ErrorObj.java", "Java", 18, 0, 0, 8, 26
"c:\Computer Science Stuff\Compiler\Monkey_java\src\EvalObject\EvalObject.java", "Java", 5, 0, 0, 4, 9
"c:\Computer Science Stuff\Compiler\Monkey_java\src\EvalObject\FunctionObj.java", "Java", 44, 0, 0, 14, 58
"c:\Computer Science Stuff\Compiler\Monkey_java\src\EvalObject\HashKey.java", "Java", 28, 0, 0, 6, 34
"c:\Computer Science Stuff\Compiler\Monkey_java\src\EvalObject\HashObj.java", "Java", 57, 0, 0, 15, 72
"c:\Computer Science Stuff\Compiler\Monkey_java\src\EvalObject\Hashable.java", "Java", 4, 0, 0, 3, 7
"c:\Computer Science Stuff\Compiler\Monkey_java\src\EvalObject\IntegerObj.java", "Java", 26, 0, 0, 12, 38
"c:\Computer Science Stuff\Compiler\Monkey_java\src\EvalObject\NullObj.java", "Java", 13, 0, 0, 6, 19
"c:\Computer Science Stuff\Compiler\Monkey_java\src\EvalObject\Pair.java", "Java", 11, 0, 0, 5, 16
"c:\Computer Science Stuff\Compiler\Monkey_java\src\EvalObject\ReturnObj.java", "Java", 15, 0, 0, 8, 23
"c:\Computer Science Stuff\Compiler\Monkey_java\src\EvalObject\StringObj.java", "Java", 20, 0, 0, 10, 30
"c:\Computer Science Stuff\Compiler\Monkey_java\src\EvaluatorTest.java", "Java", 446, 0, 6, 89, 541
"c:\Computer Science Stuff\Compiler\Monkey_java\src\Evaluator\BuiltinsEval.java", "Java", 33, 0, 0, 8, 41
