"filename", "language", "Java", "comment", "blank", "total"
"c:\Computer Science Stuff\Compiler\Monkey_java\src\EvalObject\BuiltinComp.java", "Java", 0, 0, 1, 1
"c:\Computer Science Stuff\Compiler\Monkey_java\src\EvalObject\Builtins.java", "Java", 0, -3, 1, -2
"c:\Computer Science Stuff\Compiler\Monkey_java\src\EvalObject\CompiledFunction.java", "Java", 6, 0, 1, 7
"c:\Computer Science Stuff\Compiler\Monkey_java\src\Evaluator\Builtin.java", "Java", 21, 0, 11, 32
"c:\Computer Science Stuff\Compiler\Monkey_java\src\Evaluator\Builtins.java", "Java", 90, 0, 20, 110
"c:\Computer Science Stuff\Compiler\Monkey_java\src\REPL.java", "Java", -3, 0, -2, -5
"c:\Computer Science Stuff\Compiler\Monkey_java\src\vm\VM.java", "Java", 3, 0, 0, 3
"Total", "-", 117, -3, 32, 146
