"filename", "language", "Java", "comment", "blank", "total"
"c:\Computer Science Stuff\Compiler\Monkey_java\src\CompilerTest.java", "Java", 36, 0, 0, 36
"c:\Computer Science Stuff\Compiler\Monkey_java\src\Compiler\Compiler.java", "Java", 23, -1, 2, 24
"c:\Computer Science Stuff\Compiler\Monkey_java\src\EvalObject\Builtin.java", "Java", 4, 0, 0, 4
"c:\Computer Science Stuff\Compiler\Monkey_java\src\EvalObject\BuiltinComp.java", "Java", 0, 0, -1, -1
"c:\Computer Science Stuff\Compiler\Monkey_java\src\EvalObject\Builtins.java", "Java", 5, 0, -13, -8
"c:\Computer Science Stuff\Compiler\Monkey_java\src\EvaluatorTest.java", "Java", 1, -1, 0, 0
"c:\Computer Science Stuff\Compiler\Monkey_java\src\Evaluator\Builtin.java", "Java", -21, 0, -11, -32
"c:\Computer Science Stuff\Compiler\Monkey_java\src\Evaluator\Builtins.java", "Java", -90, 0, -20, -110
"c:\Computer Science Stuff\Compiler\Monkey_java\src\Evaluator\BuiltinsEval.java", "Java", 33, 0, 8, 41
"c:\Computer Science Stuff\Compiler\Monkey_java\src\Evaluator\Evaluator.java", "Java", -1, 0, 0, -1
"c:\Computer Science Stuff\Compiler\Monkey_java\src\Main.java", "Java", 0, 0, -1, -1
"c:\Computer Science Stuff\Compiler\Monkey_java\src\REPL.java", "Java", 3, 0, 0, 3
"c:\Computer Science Stuff\Compiler\Monkey_java\src\SymbolTableTest.java", "Java", 23, 2, 4, 29
"c:\Computer Science Stuff\Compiler\Monkey_java\src\VMTest.java", "Java", 37, 0, 2, 39
"c:\Computer Science Stuff\Compiler\Monkey_java\src\code\Code.java", "Java", 3, 0, 0, 3
"c:\Computer Science Stuff\Compiler\Monkey_java\src\code\SymbolTable.java", "Java", 5, 0, 1, 6
"c:\Computer Science Stuff\Compiler\Monkey_java\src\vm\VM.java", "Java", 16, 2, 2, 20
"Total", "-", 77, 2, -27, 52
